palabra;definicion;grammatical;nivel2;tematica
wrong;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
young;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
alone;;adjective & adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
right;;adjective & adverb & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
sweet;;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
clear;;adjective & verb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
above;;Prepositions;A1 Movers;Places
below;;Prepositions;A1 Movers;Places
café;;Nouns;A1 Movers;Places
front;;Nouns;A2 Flyers;Places
north;;Nouns;A2 Flyers;Places
place;;Nouns;A1 Movers;Places
south;;Nouns;A1 Movers;Places
store;;Nouns;Pre A1 Starters;Places
there;;Adverbs;Pre A1 Starters;Places
under;;Prepositions;Pre A1 Starters;Places
hotel;;noun;B1 Preliminar;Places
store;;noun;B1 Preliminar;Places
canal;;noun;B1 Preliminar;Places
cliff;;noun;B1 Preliminar;Places
earth;;noun;B1 Preliminar;Places
field;;noun;B1 Preliminar;Places
ocean;;noun;B1 Preliminar;Places
river;;noun;B1 Preliminar;Places
route;;noun;B1 Preliminar;Places
break;;Nouns;A1 Movers;School
class;;Nouns;Pre A1 Starters;School
close;;Nouns;A2 Flyers;School
color;;Nouns;A1 Movers;School
cross;;Nouns;Pre A1 Starters;School
floor;;Nouns;A1 Movers;School
group;;Nouns;A1 Movers;School
learn;;Verbs;Pre A1 Starters;School
maths;;Nouns;A1 Movers;School
mouse;;Nouns;Pre A1 Starters;School
paper;;Nouns;Pre A1 Starters;School
right;;Nouns;A1 Movers;School
ruler;;Nouns;Pre A1 Starters;School
shelf;;Nouns;A1 Movers;School
spell;;Verbs irregular;Pre A1 Starters;School
stand;;Verbs irregular;Pre A1 Starters;School
study;;Verbs regular;A2 Flyers;School
teach;;Verbs irregular;A1 Movers;School
write;;Verbs irregular;Pre A1 Starters;School
cheap;;adjective;B1 Preliminar;Shopping
order;;conjunction & noun & verb;B1 Preliminar;Shopping
money;;noun;B1 Preliminar;Shopping
penny;;noun;B1 Preliminar;Shopping
price;;noun;B1 Preliminar;Shopping
spend;;verb;B1 Preliminar;Shopping
court;;noun;B1 Preliminar;Sports & leisure
prize;;noun;B1 Preliminar;Sports & leisure
rider;;noun;B1 Preliminar;Sports & leisure
rugby;;noun;B1 Preliminar;Sports & leisure
sport;;noun;B1 Preliminar;Sports & leisure
track;;noun;B1 Preliminar;Sports & leisure
match;;noun & verb;B1 Preliminar;Sports & leisure
score;;noun & verb;B1 Preliminar;Sports & leisure
catch;;Verbs irregular;Pre A1 Starters;Sports & leisure
chess;;Nouns;A1 Movers;Sports & leisure
comic;;Nouns;A1 Movers;Sports & leisure
dance;;Nouns;A1 Movers;Sports & leisure
diary;;Nouns;A2 Flyers;Sports & leisure
email;;Nouns;A1 Movers;Sports & leisure
enjoy;;Verbs regular;Pre A1 Starters;Sports & leisure
hobby;;Nouns;Pre A1 Starters;Sports & leisure
hotel;;Nouns;A1 Movers;Sports & leisure
match;;Nouns;A1 Movers;Sports & leisure
music;;Nouns;A1 Movers;Sports & leisure
party;;Nouns;A1 Movers;Sports & leisure
photo;;Nouns;Pre A1 Starters;Sports & leisure
piano;;Nouns;Pre A1 Starters;Sports & leisure
prize;;Nouns;A2 Flyers;Sports & leisure
radio;;Nouns;Pre A1 Starters;Sports & leisure
score;;Nouns;A1 Movers;Sports & leisure
skate;;Nouns;A1 Movers;Sports & leisure
sport;;Nouns;Pre A1 Starters;Sports & leisure
stage;;Nouns;A1 Movers;Sports & leisure
story;;Nouns;Pre A1 Starters;Sports & leisure
swing;;Nouns;A2 Flyers;Sports & leisure
table;;Nouns;Pre A1 Starters;Sports & leisure
throw;;Verbs irregular;Pre A1 Starters;Sports & leisure
torch;;Nouns;A2 Flyers;Sports & leisure
towel;;Nouns;A1 Movers;Sports & leisure
video;;Nouns;A1 Movers;Sports & leisure
north;;adjective & adverb & noun;B1 Preliminar;The Natural World
south;;adjective & adverb & noun;B1 Preliminar;The Natural World
coast;;noun;B1 Preliminar;The Natural World
grass;;noun;B1 Preliminar;The Natural World
range;;noun;B1 Preliminar;The Natural World
shark;;noun;B1 Preliminar;The Natural World
space;;noun;B1 Preliminar;The Natural World
stone;;noun;B1 Preliminar;The Natural World
tiger;;noun;B1 Preliminar;The Natural World
world;;noun;B1 Preliminar;The Natural World
zebra;;noun;B1 Preliminar;The Natural World
flood;;noun & verb;B1 Preliminar;The Natural World
water;;noun & verb;B1 Preliminar;The Natural World
daily;;adjective & adverb;B1 Preliminar;Time
today;;adverb & noun;B1 Preliminar;Time
diary;;noun;B1 Preliminar;Time
month;;noun;B1 Preliminar;Time
night;;noun;B1 Preliminar;Time
April;;Nouns;A1 Movers;Time
March;;Nouns;A1 Movers;Time
after;;Adverbs;A1 Movers;Time
clock;;Nouns;Pre A1 Starters;Time
early;;Adjectives;A1 Movers;Time
every;;Determiners;A1 Movers;Time
later;;Adverbs;A2 Flyers;Time
month;;Nouns;A2 Flyers;Time
never;;Adverbs;A1 Movers;Time
night;;Nouns;Pre A1 Starters;Time
today;;Nouns;Pre A1 Starters;Time
watch;;Nouns;Pre A1 Starters;Time
alien;;Nouns;Pre A1 Starters;Toys
board;;Nouns;Pre A1 Starters;Toys
model;;Nouns;A1 Movers;Toys
robot;;Nouns;Pre A1 Starters;Toys
teddy;;Nouns;Pre A1 Starters;Toys
drive;;Nouns;A1 Movers;Transport
lorry;;Nouns;Pre A1 Starters;Transport
plane;;Nouns;Pre A1 Starters;Transport
train;;Nouns;Pre A1 Starters;Transport
wheel;;Nouns;A2 Flyers;Transport
cabin;;noun;B1 Preliminar;Transport
ferry;;noun;B1 Preliminar;Transport
guest;;noun;B1 Preliminar;Transport
lorry;;noun;B1 Preliminar;Transport
pilot;;noun;B1 Preliminar;Transport
speed;;noun;B1 Preliminar;Transport
wheel;;noun;B1 Preliminar;Transport
delay;;noun & verb;B1 Preliminar;Transport
drive;;noun & verb;B1 Preliminar;Transport
guide;;noun & verb;B1 Preliminar;Transport
train;;noun & verb;B1 Preliminar;Transport
leave;;verb;B1 Preliminar;Transport
foggy;;adjective;B1 Preliminar;Weather
humid;;adjective;B1 Preliminar;Weather
sunny;;adjective;B1 Preliminar;Weather
windy;;adjective;B1 Preliminar;Weather
cloud;;noun;B1 Preliminar;Weather
storm;;noun;B1 Preliminar;Weather
cloud;;Nouns;A1 Movers;Weather
foggy;;Adjectives;A1 Movers;Weather
storm;;Nouns;A1 Movers;Weather
sunny;;Adjectives;A1 Movers;Weather
windy;;Adjectives;A1 Movers;Weather
Earth;;Nouns;A2 Flyers;Work
actor;;Nouns;A1 Movers;Work
beach;;Nouns;Pre A1 Starters;Work
clown;;Nouns;A1 Movers;Work
field;;Nouns;A1 Movers;Work
grass;;Nouns;A1 Movers;Work
movie;;Nouns;A1 Movers;Work
nurse;;Nouns;A1 Movers;Work
ocean;;Nouns;A2 Flyers;Work
pilot;;Nouns;A2 Flyers;Work
plant;;Nouns;A1 Movers;Work
queen;;Nouns;A2 Flyers;Work
river;;Nouns;A1 Movers;Work
shell;;Nouns;Pre A1 Starters;Work
space;;Nouns;A1 Movers;Work
stone;;Nouns;A1 Movers;Work
truck;;Nouns;A2 Flyers;Work
water;;Nouns;Pre A1 Starters;Work
woman;;Nouns;A2 Flyers;Work
diver;;noun;B1 Preliminar;Work
guard;;noun;B1 Preliminar;Work
owner;;noun;B1 Preliminar;Work
queen;;noun;B1 Preliminar;Work
staff;;noun;B1 Preliminar;Work
trade;;noun;B1 Preliminar;Work
judge;;noun & verb;B1 Preliminar;Work
apply;;verb;B1 Preliminar;Work
alive;;adjective;B1 Preliminar;
awake;;adjective;B1 Preliminar;
basic;;adjective;B1 Preliminar;
blank;;adjective;B1 Preliminar;
brief;;adjective;B1 Preliminar;
broad;;adjective;B1 Preliminar;
curly;;adjective;B1 Preliminar;
dirty;;adjective;B1 Preliminar;
dusty;;adjective;B1 Preliminar;
elder;;adjective;B1 Preliminar;
empty;;adjective;B1 Preliminar;
equal;;adjective;B1 Preliminar;
exact;;adjective;B1 Preliminar;
false;;adjective;B1 Preliminar;
giant;;adjective;B1 Preliminar;
large;;adjective;B1 Preliminar;
local;;adjective;B1 Preliminar;
loose;;adjective;B1 Preliminar;
messy;;adjective;B1 Preliminar;
nasty;;adjective;B1 Preliminar;
plain;;adjective;B1 Preliminar;
proud;;adjective;B1 Preliminar;
rough;;adjective;B1 Preliminar;
scary;;adjective;B1 Preliminar;
sharp;;adjective;B1 Preliminar;
shiny;;adjective;B1 Preliminar;
short;;adjective;B1 Preliminar;
silly;;adjective;B1 Preliminar;
so-so;;adjective;B1 Preliminar;
steep;;adjective;B1 Preliminar;
thick;;adjective;B1 Preliminar;
tight;;adjective;B1 Preliminar;
unfit;;adjective;B1 Preliminar;
upper;;adjective;B1 Preliminar;
upset;;adjective;B1 Preliminar;
usual;;adjective;B1 Preliminar;
worth;;adjective;B1 Preliminar;
early;;adjective & adverb;B1 Preliminar;
first;;adjective & adverb;B1 Preliminar;
later;;adjective & adverb;B1 Preliminar;
least;;adjective & adverb;B1 Preliminar;
still;;adjective & adverb;B1 Preliminar;
worse;;adjective & adverb;B1 Preliminar;
worst;;adjective & adverb;B1 Preliminar;
extra;;adjective & adverb & noun;B1 Preliminar;
above;;adjective & adverb & preposition;B1 Preliminar;
round;;adjective & adverb & preposition;B1 Preliminar;
close;;adjective & adverb & verb;B1 Preliminar;
after;;adjective & conjunction & preposition;B1 Preliminar;
other;;adjective & determiner & pronoum;B1 Preliminar;
adult;;adjective & noun;B1 Preliminar;
final;;adjective & noun;B1 Preliminar;
front;;adjective & noun;B1 Preliminar;
human;;adjective & noun;B1 Preliminar;
total;;adjective & noun;B1 Preliminar;
whole;;adjective & noun;B1 Preliminar;
roast;;adjective & verb;B1 Preliminar;
spare;;adjective & verb;B1 Preliminar;
again;;adverb;B1 Preliminar;
ahead;;adverb;B1 Preliminar;
alike;;adverb;B1 Preliminar;
aloud;;adverb;B1 Preliminar;
apart;;adverb;B1 Preliminar;
badly;;adverb;B1 Preliminar;
fully;;adverb;B1 Preliminar;
maybe;;adverb;B1 Preliminar;
never;;adverb;B1 Preliminar;
often;;adverb;B1 Preliminar;
quite;;adverb;B1 Preliminar;
there;;adverb;B1 Preliminar;
twice;;adverb;B1 Preliminar;
where;;adverb & conjunction;B1 Preliminar;
about;;adverb & preposition;B1 Preliminar;
along;;adverb & preposition;B1 Preliminar;
below;;adverb & preposition;B1 Preliminar;
since;;conjunction & prepositon;B1 Preliminar;
until;;conjunction & prepositon;B1 Preliminar;
every;;determiner;B1 Preliminar;
their;;determiner;B1 Preliminar;
dozen;;determiner & noun;B1 Preliminar;
these;;determiner & pronoum;B1 Preliminar;
those;;determiner & pronoum;B1 Preliminar;
which;;determiner & pronoum;B1 Preliminar;
whose;;determiner & pronoum;B1 Preliminar;
could;;modal verb;B1 Preliminar;
might;;modal verb;B1 Preliminar;
ought;;modal verb;B1 Preliminar;
shall;;modal verb;B1 Preliminar;
would;;modal verb;B1 Preliminar;
album;;noun;B1 Preliminar;
baker;;noun;B1 Preliminar;
beard;;noun;B1 Preliminar;
birth;;noun;B1 Preliminar;
blood;;noun;B1 Preliminar;
bride;;noun;B1 Preliminar;
bunch;;noun;B1 Preliminar;
buyer;;noun;B1 Preliminar;
cable;;noun;B1 Preliminar;
camel;;noun;B1 Preliminar;
cheek;;noun;B1 Preliminar;
child;;noun;B1 Preliminar;
clown;;noun;B1 Preliminar;
comma;;noun;B1 Preliminar;
crime;;noun;B1 Preliminar;
crowd;;noun;B1 Preliminar;
death;;noun;B1 Preliminar;
depth;;noun;B1 Preliminar;
elbow;;noun;B1 Preliminar;
enemy;;noun;B1 Preliminar;
entry;;noun;B1 Preliminar;
event;;noun;B1 Preliminar;
fault;;noun;B1 Preliminar;
flute;;noun;B1 Preliminar;
frame;;noun;B1 Preliminar;
grade;;noun;B1 Preliminar;
grant;;noun;B1 Preliminar;
groom;;noun;B1 Preliminar;
habit;;noun;B1 Preliminar;
heart;;noun;B1 Preliminar;
horse;;noun;B1 Preliminar;
issue;;noun;B1 Preliminar;
litre;;noun;B1 Preliminar;
Madam;;noun;B1 Preliminar;
mango;;noun;B1 Preliminar;
metal;;noun;B1 Preliminar;
metre;;noun;B1 Preliminar;
mouth;;noun;B1 Preliminar;
movie;;noun;B1 Preliminar;
niece;;noun;B1 Preliminar;
noise;;noun;B1 Preliminar;
novel;;noun;B1 Preliminar;
olive;;noun;B1 Preliminar;
paper;;noun;B1 Preliminar;
peace;;noun;B1 Preliminar;
photo;;noun;B1 Preliminar;
piano;;noun;B1 Preliminar;
piece;;noun;B1 Preliminar;
pitch;;noun;B1 Preliminar;
place;;noun;B1 Preliminar;
plane;;noun;B1 Preliminar;
power;;noun;B1 Preliminar;
puppy;;noun;B1 Preliminar;
queue;;noun;B1 Preliminar;
sense;;noun;B1 Preliminar;
shade;;noun;B1 Preliminar;
shame;;noun;B1 Preliminar;
shape;;noun;B1 Preliminar;
sheep;;noun;B1 Preliminar;
shock;;noun;B1 Preliminar;
shore;;noun;B1 Preliminar;
sight;;noun;B1 Preliminar;
skill;;noun;B1 Preliminar;
slice;;noun;B1 Preliminar;
snake;;noun;B1 Preliminar;
solve;;noun;B1 Preliminar;
spice;;noun;B1 Preliminar;
spite;;noun;B1 Preliminar;
stall;;noun;B1 Preliminar;
stamp;;noun;B1 Preliminar;
story;;noun;B1 Preliminar;
stuff;;noun;B1 Preliminar;
style;;noun;B1 Preliminar;
tense;;noun;B1 Preliminar;
thief;;noun;B1 Preliminar;
thing;;noun;B1 Preliminar;
title;;noun;B1 Preliminar;
topic;;noun;B1 Preliminar;
trend;;noun;B1 Preliminar;
trick;;noun;B1 Preliminar;
trunk;;noun;B1 Preliminar;
truth;;noun;B1 Preliminar;
uncle;;noun;B1 Preliminar;
union;;noun;B1 Preliminar;
value;;noun;B1 Preliminar;
virus;;noun;B1 Preliminar;
voice;;noun;B1 Preliminar;
vowel;;noun;B1 Preliminar;
whale;;noun;B1 Preliminar;
while;;noun;B1 Preliminar;
woman;;noun;B1 Preliminar;
youth;;noun;B1 Preliminar;
brake;;noun & verb;B1 Preliminar;
click;;noun & verb;B1 Preliminar;
cough;;noun & verb;B1 Preliminar;
cover;;noun & verb;B1 Preliminar;
crash;;noun & verb;B1 Preliminar;
cross;;noun & verb;B1 Preliminar;
cycle;;noun & verb;B1 Preliminar;
doubt;;noun & verb;B1 Preliminar;
dream;;noun & verb;B1 Preliminar;
fight;;noun & verb;B1 Preliminar;
guess;;noun & verb;B1 Preliminar;
hurry;;noun & verb;B1 Preliminar;
limit;;noun & verb;B1 Preliminar;
offer;;noun & verb;B1 Preliminar;
point;;noun & verb;B1 Preliminar;
skate;;noun & verb;B1 Preliminar;
sleep;;noun & verb;B1 Preliminar;
smell;;noun & verb;B1 Preliminar;
smile;;noun & verb;B1 Preliminar;
smoke;;noun & verb;B1 Preliminar;
sound;;noun & verb;B1 Preliminar;
start;;noun & verb;B1 Preliminar;
stick;;noun & verb;B1 Preliminar;
study;;noun & verb;B1 Preliminar;
visit;;noun & verb;B1 Preliminar;
worry;;noun & verb;B1 Preliminar;
go on;;phrasal verb;B1 Preliminar;
goods;;plural noun;B1 Preliminar;
pence;;plural noun;B1 Preliminar;
minus;;preposition;B1 Preliminar;
under;;preposition;B1 Preliminar;
yours;;pronoum;B1 Preliminar;
admit;;verb;B1 Preliminar;
agree;;verb;B1 Preliminar;
allow;;verb;B1 Preliminar;
annoy;;verb;B1 Preliminar;
avoid;;verb;B1 Preliminar;
begin;;verb;B1 Preliminar;
blame;;verb;B1 Preliminar;
bleed;;verb;B1 Preliminar;
bring;;verb;B1 Preliminar;
build;;verb;B1 Preliminar;
carry;;verb;B1 Preliminar;
catch;;verb;B1 Preliminar;
cheat;;verb;B1 Preliminar;
climb;;verb;B1 Preliminar;
count;;verb;B1 Preliminar;
enjoy;;verb;B1 Preliminar;
exist;;verb;B1 Preliminar;
fancy;;verb;B1 Preliminar;
fetch;;verb;B1 Preliminar;
float;;verb;B1 Preliminar;
greet;;verb;B1 Preliminar;
knock;;verb;B1 Preliminar;
marry;;verb;B1 Preliminar;
pause;;verb;B1 Preliminar;
press;;verb;B1 Preliminar;
prove;;verb;B1 Preliminar;
raise;;verb;B1 Preliminar;
reach;;verb;B1 Preliminar;
react;;verb;B1 Preliminar;
relax;;verb;B1 Preliminar;
serve;;verb;B1 Preliminar;
shake;;verb;B1 Preliminar;
share;;verb;B1 Preliminar;
shave;;verb;B1 Preliminar;
shine;;verb;B1 Preliminar;
shoot;;verb;B1 Preliminar;
spell;;verb;B1 Preliminar;
spill;;verb;B1 Preliminar;
spoil;;verb;B1 Preliminar;
stand;;verb;B1 Preliminar;
steal;;verb;B1 Preliminar;
thank;;verb;B1 Preliminar;
think;;verb;B1 Preliminar;
throw;;verb;B1 Preliminar;
touch;;verb;B1 Preliminar;
trust;;verb;B1 Preliminar;
weigh;;verb;B1 Preliminar;
write;;verb;B1 Preliminar;
about;;Prepositions;Pre A1 Starters;
again;;Adverbs;Pre A1 Starters;
agree;;Verbs regular;A1 Movers;
alone;;Adjectives;A1 Movers;
along;;Prepositions;A1 Movers;
angry;;Adjectives;Pre A1 Starters;
awake;;Adjectives;A1 Movers;
badly;;Adverbs;A1 Movers;
begin;;Verbs;A1 Movers;
bored;;Adjectives;A1 Movers;
brave;;Adjectives;A1 Movers;
bring;;Verbs irregular;A1 Movers;
brush;;Nouns;A1 Movers;
build;;Verbs irregular;A1 Movers;
carry;;Verbs regular;A1 Movers;
chair;;Nouns;Pre A1 Starters;
cheap;;Adjectives;A1 Movers;
clean;;Adjectives;Pre A1 Starters;
climb;;Verbs regular;A1 Movers;
could;;Modals;A1 Movers;
count;;Verbs regular;Pre A1 Starters;
cycle;;Verbs regular;A1 Movers;
dirty;;Adjectives;Pre A1 Starters;
dream;;Nouns;A1 Movers;
empty;;Adjectives;A1 Movers;
enter;;Verbs regular;A1 Movers;
fetch;;Verbs regular;A1 Movers;
first;;Adjectives;A1 Movers;
funny;;Adjectives;Pre A1 Starters;
furry;;Adjectives;A1 Movers;
girls;;Nouns;A1 Movers;
great;;Adjectives;Pre A1 Starters;
guess;;Nouns;A1 Movers;
happy;;Adjectives;Pre A1 Starters;
heavy;;Adjectives;A1 Movers;
house;;Nouns;Pre A1 Starters;
hurry;;Verbs regular;A1 Movers;
large;;Adjectives;A1 Movers;
laugh;;Nouns;A1 Movers;
leave;;Verbs irregular;A1 Movers;
light;;Nouns;A1 Movers;
lucky;;Adjectives;A2 Flyers;
might;;Modals;A1 Movers;
money;;Nouns;A2 Flyers;
noise;;Nouns;A1 Movers;
noisy;;Adjectives;A2 Flyers;
often;;Adverbs;A1 Movers;
other;;Determiners;A1 Movers;
paint;;Nouns;Pre A1 Starters;
phone;;Nouns;Pre A1 Starters;
point;;Verbs regular;Pre A1 Starters;
quick;;Adjectives;A1 Movers;
quiet;;Adjectives;A1 Movers;
quite;;Adverbs;A2 Flyers;
ready;;Adjectives;A2 Flyers;
round;;Adverbs;A1 Movers;
scary;;Adjectives;Pre A1 Starters;
shall;;Modals;A1 Movers;
shape;;Nouns;A1 Movers;
short;;Adjectives;Pre A1 Starters;
shout;;Verbs regular;A1 Movers;
silly;;Adjectives;Pre A1 Starters;
since;;Prepositions;A2 Flyers;
sleep;;Verbs irregular;Pre A1 Starters;
small;;Adjectives;Pre A1 Starters;
sound;;Nouns;A1 Movers;
speak;;Verbs irregular;A2 Flyers;
spend;;Verbs irregular;A2 Flyers;
stamp;;Nouns;A1 Movers;
start;;Verbs regular;Pre A1 Starters;
still;;Adverbs;A2 Flyers;
sweet;;Adjectives;A1 Movers;
thank;;Verbs regular;A2 Flyers;
these;;Determiners;Pre A1 Starters;
thing;;Nouns;Pre A1 Starters;
think;;Verbs irregular;A1 Movers;
third;;Adjectives;A1 Movers;
those;;Determiners;Pre A1 Starters;
touch;;Verbs regular;A2 Flyers;
until;;Prepositions;A2 Flyers;
visit;;Verbs regular;A2 Flyers;
where;;Pronouns;A1 Movers;
which;;Pronouns;A1 Movers;
while;;Conjunctions;A2 Flyers;
whose;;Question words;Pre A1 Starters;
words;;Question words;Pre A1 Starters;
world;;Nouns;A1 Movers;
worse;;Adjectives;A1 Movers;
worst;;Adjectives;A1 Movers;
would;;Modals;A1 Movers;
wrong;;Adjectives;A1 Movers;
yours;;Pronouns;Pre A1 Starters;
animal;;Nouns;Pre A1 Starters;Animals
beetle;;Nouns;A1 Movers;Animals
blonde;;Adjectives;A1 Movers;Animals
donkey;;Nouns;Pre A1 Starters;Animals
finger;;Nouns;A2 Flyers;Animals
insect;;Nouns;A1 Movers;Animals
kitten;;Nouns;A1 Movers;Animals
lizard;;Nouns;Pre A1 Starters;Animals
monkey;;Nouns;Pre A1 Starters;Animals
parrot;;Nouns;A1 Movers;Animals
rabbit;;Nouns;A1 Movers;Animals
spider;;Nouns;Pre A1 Starters;Animals
helmet;;Nouns;A1 Movers;Clothes
jacket;;Nouns;Pre A1 Starters;Clothes
pocket;;Nouns;A2 Flyers;Clothes
shorts;;Nouns;Pre A1 Starters;Clothes
blouse;;noun;B1 Preliminar;Clothes
button;;noun;B1 Preliminar;Clothes
collar;;noun;B1 Preliminar;Clothes
cotton;;noun;B1 Preliminar;Clothes
hoodie;;noun;B1 Preliminar;Clothes
jacket;;noun;B1 Preliminar;Clothes
jumper;;noun;B1 Preliminar;Clothes
pocket;;noun;B1 Preliminar;Clothes
sandal;;noun;B1 Preliminar;Clothes
stripe;;noun;B1 Preliminar;Clothes
wallet;;noun;B1 Preliminar;Clothes
put on;;phrasal verb;B1 Preliminar;Clothes
try on;;phrasal verb;B1 Preliminar;Clothes
shorts;;plural noun;B1 Preliminar;Clothes
tights;;plural noun;B1 Preliminar;Clothes
fasten;;verb;B1 Preliminar;Clothes
golden;;adjective;B1 Preliminar;Colours
yellow;;adjective;B1 Preliminar;Colours
orange;;adjective & noun;B1 Preliminar;Colours
purple;;adjective & noun;B1 Preliminar;Colours
silver;;adjective & noun;B1 Preliminar;Colours
purple;;Adjectives;Pre A1 Starters;Colours
stripe;;Nouns;A1 Movers;Colours
yellow;;Adjectives;Pre A1 Starters;Colours
online;;adjective & adverb;B1 Preliminar;Communications and Technology
access;;noun;B1 Preliminar;Communications and Technology
parcel;;noun;B1 Preliminar;Communications and Technology
delete;;verb;B1 Preliminar;Communications and Technology
invent;;verb;B1 Preliminar;Communications and Technology
absent;;adjective;B1 Preliminar;Education
clever;;adjective;B1 Preliminar;Education
course;;noun;B1 Preliminar;Education
degree;;noun;B1 Preliminar;Education
lesson;;noun;B1 Preliminar;Education
rubber;;noun;B1 Preliminar;Education
school;;noun;B1 Preliminar;Education
screen;;noun;B1 Preliminar;Education
server;;noun;B1 Preliminar;Education
volume;;noun;B1 Preliminar;Education
webcam;;noun;B1 Preliminar;Education
horror;;adjective;B1 Preliminar;Entertainment and Media
advert;;noun;B1 Preliminar;Entertainment and Media
ballet;;noun;B1 Preliminar;Entertainment and Media
camera;;noun;B1 Preliminar;Entertainment and Media
cinema;;noun;B1 Preliminar;Entertainment and Media
circus;;noun;B1 Preliminar;Entertainment and Media
comedy;;noun;B1 Preliminar;Entertainment and Media
dancer;;noun;B1 Preliminar;Entertainment and Media
guitar;;noun;B1 Preliminar;Entertainment and Media
museum;;noun;B1 Preliminar;Entertainment and Media
review;;noun;B1 Preliminar;Entertainment and Media
selfie;;noun;B1 Preliminar;Entertainment and Media
series;;noun;B1 Preliminar;Entertainment and Media
studio;;noun;B1 Preliminar;Entertainment and Media
go out;;phrasal verb;B1 Preliminar;Entertainment and Media
litter;;noun;B1 Preliminar;Environment
cousin;;Nouns;Pre A1 Starters;Family & friends
family;;Nouns;Pre A1 Starters;Family & friends
father;;Nouns;Pre A1 Starters;Family & friends
friend;;Nouns;Pre A1 Starters;Family & friends
mother;;Nouns;Pre A1 Starters;Family & friends
parent;;Nouns;A1 Movers;Family & friends
sister;;Nouns;Pre A1 Starters;Family & friends
banana;;Nouns;Pre A1 Starters;Food & drink
bottle;;Nouns;A1 Movers;Food & drink
burger;;Nouns;Pre A1 Starters;Food & drink
butter;;Nouns;A1 Movers;Food & drink
carrot;;Nouns;Pre A1 Starters;Food & drink
cereal;;Nouns;A1 Movers;Food & drink
cheese;;Nouns;A1 Movers;Food & drink
coffee;;Nouns;A1 Movers;Food & drink
cookie;;Nouns;A2 Flyers;Food & drink
dinner;;Nouns;Pre A1 Starters;Food & drink
hungry;;Adjectives;A1 Movers;Food & drink
olives;;Nouns;A2 Flyers;Food & drink
orange;;Nouns;Pre A1 Starters;Food & drink
pepper;;Nouns;A2 Flyers;Food & drink
picnic;;Nouns;A1 Movers;Food & drink
potato;;Nouns;Pre A1 Starters;Food & drink
sweets;;Nouns;A1 Movers;Food & drink
tomato;;Nouns;Pre A1 Starters;Food & drink
boiled;;adjective;B1 Preliminar;Food & drink
hungry;;adjective;B1 Preliminar;Food & drink
banana;;noun;B1 Preliminar;Food & drink
bottle;;noun;B1 Preliminar;Food & drink
burger;;noun;B1 Preliminar;Food & drink
butter;;noun;B1 Preliminar;Food & drink
carrot;;noun;B1 Preliminar;Food & drink
cereal;;noun;B1 Preliminar;Food & drink
cheese;;noun;B1 Preliminar;Food & drink
chilli;;noun;B1 Preliminar;Food & drink
coffee;;noun;B1 Preliminar;Food & drink
cooker;;noun;B1 Preliminar;Food & drink
cookie;;noun;B1 Preliminar;Food & drink
dinner;;noun;B1 Preliminar;Food & drink
fridge;;noun;B1 Preliminar;Food & drink
garlic;;noun;B1 Preliminar;Food & drink
peanut;;noun;B1 Preliminar;Food & drink
pepper;;noun;B1 Preliminar;Food & drink
picnic;;noun;B1 Preliminar;Food & drink
potato;;noun;B1 Preliminar;Food & drink
recipe;;noun;B1 Preliminar;Food & drink
salmon;;noun;B1 Preliminar;Food & drink
saucer;;noun;B1 Preliminar;Food & drink
tomato;;noun;B1 Preliminar;Food & drink
turkey;;noun;B1 Preliminar;Food & drink
waiter;;noun;B1 Preliminar;Food & drink
matter;;Nouns;A1 Movers;Health
breath;;noun;B1 Preliminar;Health
danger;;noun;B1 Preliminar;Health
finger;;noun;B1 Preliminar;Health
health;;noun;B1 Preliminar;Health
stress;;noun;B1 Preliminar;Health
tablet;;noun;B1 Preliminar;Health
damage;;noun & verb;B1 Preliminar;Health
injure;;verb;B1 Preliminar;Health
cruise;;noun;B1 Preliminar;Hobbies and Leisure
bucket;;noun;B1 Preliminar;House and Home
candle;;noun;B1 Preliminar;House and Home
carpet;;noun;B1 Preliminar;House and Home
drawer;;noun;B1 Preliminar;House and Home
garage;;noun;B1 Preliminar;House and Home
garden;;noun;B1 Preliminar;House and Home
heater;;noun;B1 Preliminar;House and Home
kettle;;noun;B1 Preliminar;House and Home
ladder;;noun;B1 Preliminar;House and Home
mirror;;noun;B1 Preliminar;House and Home
pillow;;noun;B1 Preliminar;House and Home
shower;;noun;B1 Preliminar;House and Home
toilet;;noun;B1 Preliminar;House and Home
window;;noun;B1 Preliminar;House and Home
repair;;noun & verb;B1 Preliminar;House and Home
switch;;noun & verb;B1 Preliminar;House and Home
stairs;;plural noun;B1 Preliminar;House and Home
handle;;verb;B1 Preliminar;House and Home
letter;;noun;B1 Preliminar;Language
answer;;noun & verb;B1 Preliminar;Language
silver;;Nouns;A1 Movers;Materials
afraid;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
amazed;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
