palabra;definicion;grammatical;nivel2;tematica;nivel
running;;noun;B1 Preliminar;Sports & leisure;
sailing;;noun;B1 Preliminar;Sports & leisure;
skating;;noun;B1 Preliminar;Sports & leisure;
surfing;;noun;B1 Preliminar;Sports & leisure;
workout;;noun;B1 Preliminar;Sports & leisure;
climate;;noun;B1 Preliminar;The Natural World;
country;;noun;B1 Preliminar;The Natural World;
dolphin;;noun;B1 Preliminar;The Natural World;
giraffe;;noun;B1 Preliminar;The Natural World;
penguin;;noun;B1 Preliminar;The Natural World;
species;;noun;B1 Preliminar;The Natural World;
sunrise;;noun;B1 Preliminar;The Natural World;
century;;noun;B1 Preliminar;Time;
evening;;noun;B1 Preliminar;Time;
meeting;;noun;B1 Preliminar;Time;
morning;;noun;B1 Preliminar;Time;
weekday;;noun;B1 Preliminar;Time;
weekend;;noun;B1 Preliminar;Time;
airline;;noun;B1 Preliminar;Transport;
arrival;;noun;B1 Preliminar;Transport;
baggage;;noun;B1 Preliminar;Transport;
embassy;;noun;B1 Preliminar;Transport;
journey;;noun;B1 Preliminar;Transport;
licence;;noun;B1 Preliminar;Transport;
luggage;;noun;B1 Preliminar;Transport;
scooter;;noun;B1 Preliminar;Transport;
traffic;;noun;B1 Preliminar;Transport;
vehicle;;noun;B1 Preliminar;Transport;
visitor;;noun;B1 Preliminar;Transport;
weather;;noun;B1 Preliminar;Weather;
butcher;;noun;B1 Preliminar;Work;
captain;;noun;B1 Preliminar;Work;
cleaner;;noun;B1 Preliminar;Work;
company;;noun;B1 Preliminar;Work;
manager;;noun;B1 Preliminar;Work;
postman;;noun;B1 Preliminar;Work;
soldier;;noun;B1 Preliminar;Work;
ability;;noun;B1 Preliminar;;
account;;noun;B1 Preliminar;;
advance;;noun;B1 Preliminar;;
apology;;noun;B1 Preliminar;;
balloon;;noun;B1 Preliminar;;
banking;;noun;B1 Preliminar;;
bathtub;;noun;B1 Preliminar;;
battery;;noun;B1 Preliminar;;
brother;;noun;B1 Preliminar;;
cabinet;;noun;B1 Preliminar;;
chapter;;noun;B1 Preliminar;;
charity;;noun;B1 Preliminar;;
comfort;;noun;B1 Preliminar;;
cooking;;noun;B1 Preliminar;;
courage;;noun;B1 Preliminar;;
culture;;noun;B1 Preliminar;;
defence;;noun;B1 Preliminar;;
diagram;;noun;B1 Preliminar;;
disease;;noun;B1 Preliminar;;
enquiry;;noun;B1 Preliminar;;
example;;noun;B1 Preliminar;;
farming;;noun;B1 Preliminar;;
feeling;;noun;B1 Preliminar;;
grandma;;noun;B1 Preliminar;;
grandpa;;noun;B1 Preliminar;;
haircut;;noun;B1 Preliminar;;
holiday;;noun;B1 Preliminar;;
husband;;noun;B1 Preliminar;;
initial;;noun;B1 Preliminar;;
inquiry;;noun;B1 Preliminar;;
ironing;;noun;B1 Preliminar;;
lecture;;noun;B1 Preliminar;;
leisure;;noun;B1 Preliminar;;
lighter;;noun;B1 Preliminar;;
lottery;;noun;B1 Preliminar;;
million;;noun;B1 Preliminar;;
mistake;;noun;B1 Preliminar;;
monster;;noun;B1 Preliminar;;
mystery;;noun;B1 Preliminar;;
network;;noun;B1 Preliminar;;
officer;;noun;B1 Preliminar;;
opinion;;noun;B1 Preliminar;;
parking;;noun;B1 Preliminar;;
partner;;noun;B1 Preliminar;;
pattern;;noun;B1 Preliminar;;
picture;;noun;B1 Preliminar;;
product;;noun;B1 Preliminar;;
purpose;;noun;B1 Preliminar;;
quality;;noun;B1 Preliminar;;
quarter;;noun;B1 Preliminar;;
reading;;noun;B1 Preliminar;;
reality;;noun;B1 Preliminar;;
regards;;noun;B1 Preliminar;;
romance;;noun;B1 Preliminar;;
routine;;noun;B1 Preliminar;;
section;;noun;B1 Preliminar;;
service;;noun;B1 Preliminar;;
session;;noun;B1 Preliminar;;
shampoo;;noun;B1 Preliminar;;
silence;;noun;B1 Preliminar;;
singing;;noun;B1 Preliminar;;
smoking;;noun;B1 Preliminar;;
society;;noun;B1 Preliminar;;
speaker;;noun;B1 Preliminar;;
success;;noun;B1 Preliminar;;
surname;;noun;B1 Preliminar;;
swimmer;;noun;B1 Preliminar;;
thought;;noun;B1 Preliminar;;
thunder;;noun;B1 Preliminar;;
tourism;;noun;B1 Preliminar;;
trainer;;noun;B1 Preliminar;;
trouble;;noun;B1 Preliminar;;
trumpet;;noun;B1 Preliminar;;
vanilla;;noun;B1 Preliminar;;
variety;;noun;B1 Preliminar;;
version;;noun;B1 Preliminar;;
walking;;noun;B1 Preliminar;;
warning;;noun;B1 Preliminar;;
wedding;;noun;B1 Preliminar;;
writing;;noun;B1 Preliminar;;
backpack;;noun;B1 Preliminar;Clothes;
bracelet;;noun;B1 Preliminar;Clothes;
clothing;;noun;B1 Preliminar;Clothes;
material;;noun;B1 Preliminar;Clothes;
necklace;;noun;B1 Preliminar;Clothes;
pullover;;noun;B1 Preliminar;Clothes;
raincoat;;noun;B1 Preliminar;Clothes;
swimming;;noun;B1 Preliminar;Clothes;
swimsuit;;noun;B1 Preliminar;Clothes;
umbrella;;noun;B1 Preliminar;Clothes;
computer;;noun;B1 Preliminar;Communications and Technology;
envelope;;noun;B1 Preliminar;Communications and Technology;
hardware;;noun;B1 Preliminar;Communications and Technology;
headline;;noun;B1 Preliminar;Communications and Technology;
homepage;;noun;B1 Preliminar;Communications and Technology;
internet;;noun;B1 Preliminar;Communications and Technology;
keyboard;;noun;B1 Preliminar;Communications and Technology;
operator;;noun;B1 Preliminar;Communications and Technology;
password;;noun;B1 Preliminar;Communications and Technology;
beginner;;noun;B1 Preliminar;Education;
homework;;noun;B1 Preliminar;Education;
language;;noun;B1 Preliminar;Education;
postcard;;noun;B1 Preliminar;Education;
software;;noun;B1 Preliminar;Education;
audience;;noun;B1 Preliminar;Entertainment and Media;
entrance;;noun;B1 Preliminar;Entertainment and Media;
festival;;noun;B1 Preliminar;Entertainment and Media;
interval;;noun;B1 Preliminar;Entertainment and Media;
magazine;;noun;B1 Preliminar;Entertainment and Media;
musician;;noun;B1 Preliminar;Entertainment and Media;
thriller;;noun;B1 Preliminar;Entertainment and Media;
broccoli;;noun;B1 Preliminar;Food & drink;
cucumber;;noun;B1 Preliminar;Food & drink;
lemonade;;noun;B1 Preliminar;Food & drink;
mushroom;;noun;B1 Preliminar;Food & drink;
omelette;;noun;B1 Preliminar;Food & drink;
sandwich;;noun;B1 Preliminar;Food & drink;
saucepan;;noun;B1 Preliminar;Food & drink;
takeaway;;noun;B1 Preliminar;Food & drink;
waitress;;noun;B1 Preliminar;Food & drink;
accident;;noun;B1 Preliminar;Health;
headache;;noun;B1 Preliminar;Health;
hospital;;noun;B1 Preliminar;Health;
medicine;;noun;B1 Preliminar;Health;
shoulder;;noun;B1 Preliminar;Health;
campsite;;noun;B1 Preliminar;Hobbies and Leisure;
painting;;noun;B1 Preliminar;Hobbies and Leisure;
pharmacy;;noun;B1 Preliminar;Hobbies and Leisure;
armchair;;noun;B1 Preliminar;House and Home;
bathroom;;noun;B1 Preliminar;House and Home;
bookcase;;noun;B1 Preliminar;House and Home;
cupboard;;noun;B1 Preliminar;House and Home;
property;;noun;B1 Preliminar;House and Home;
roommate;;noun;B1 Preliminar;House and Home;
question;;noun;B1 Preliminar;Language;
sentence;;noun;B1 Preliminar;Language;
bookshop;;noun;B1 Preliminar;Places;
building;;noun;B1 Preliminar;Places;
elevator;;noun;B1 Preliminar;Places;
mountain;;noun;B1 Preliminar;Places;
crossing;;noun;B1 Preliminar;Places;
fountain;;noun;B1 Preliminar;Places;
monument;;noun;B1 Preliminar;Places;
motorway;;noun;B1 Preliminar;Places;
pavement;;noun;B1 Preliminar;Places;
signpost;;noun;B1 Preliminar;Places;
shopping;;noun;B1 Preliminar;Services;
customer;;noun;B1 Preliminar;Shopping;
baseball;;noun;B1 Preliminar;Sports & leisure;
champion;;noun;B1 Preliminar;Sports & leisure;
climbing;;noun;B1 Preliminar;Sports & leisure;
football;;noun;B1 Preliminar;Sports & leisure;
elephant;;noun;B1 Preliminar;The Natural World;
farmland;;noun;B1 Preliminar;The Natural World;
kangaroo;;noun;B1 Preliminar;The Natural World;
mosquito;;noun;B1 Preliminar;The Natural World;
sunshine;;noun;B1 Preliminar;The Natural World;
wildlife;;noun;B1 Preliminar;The Natural World;
birthday;;noun;B1 Preliminar;Time;
midnight;;noun;B1 Preliminar;Time;
brochure;;noun;B1 Preliminar;Transport;
currency;;noun;B1 Preliminar;Transport;
mechanic;;noun;B1 Preliminar;Transport;
passport;;noun;B1 Preliminar;Transport;
platform;;noun;B1 Preliminar;Transport;
suitcase;;noun;B1 Preliminar;Transport;
forecast;;noun;B1 Preliminar;Weather;
snowfall;;noun;B1 Preliminar;Weather;
contract;;noun;B1 Preliminar;Work;
designer;;noun;B1 Preliminar;Work;
director;;noun;B1 Preliminar;Work;
employee;;noun;B1 Preliminar;Work;
employer;;noun;B1 Preliminar;Work;
engineer;;noun;B1 Preliminar;Work;
explorer;;noun;B1 Preliminar;Work;
lecturer;;noun;B1 Preliminar;Work;
novelist;;noun;B1 Preliminar;Work;
reporter;;noun;B1 Preliminar;Work;
activity;;noun;B1 Preliminar;;
addition;;noun;B1 Preliminar;;
alphabet;;noun;B1 Preliminar;;
ambition;;noun;B1 Preliminar;;
argument;;noun;B1 Preliminar;;
attitude;;noun;B1 Preliminar;;
business;;noun;B1 Preliminar;;
calendar;;noun;B1 Preliminar;;
ceremony;;noun;B1 Preliminar;;
chatroom;;noun;B1 Preliminar;;
checkout;;noun;B1 Preliminar;;
contents;;noun;B1 Preliminar;;
creature;;noun;B1 Preliminar;;
criminal;;noun;B1 Preliminar;;
daughter;;noun;B1 Preliminar;;
decision;;noun;B1 Preliminar;;
delivery;;noun;B1 Preliminar;;
discount;;noun;B1 Preliminar;;
distance;;noun;B1 Preliminar;;
district;;noun;B1 Preliminar;;
document;;noun;B1 Preliminar;;
election;;noun;B1 Preliminar;;
examiner;;noun;B1 Preliminar;;
firework;;noun;B1 Preliminar;;
grandson;;noun;B1 Preliminar;;
greeting;;noun;B1 Preliminar;;
industry;;noun;B1 Preliminar;;
instance;;noun;B1 Preliminar;;
inventor;;noun;B1 Preliminar;;
location;;noun;B1 Preliminar;;
marriage;;noun;B1 Preliminar;;
notebook;;noun;B1 Preliminar;;
occasion;;noun;B1 Preliminar;;
pleasure;;noun;B1 Preliminar;;
politics;;noun;B1 Preliminar;;
position;;noun;B1 Preliminar;;
practice;;noun;B1 Preliminar;;
princess;;noun;B1 Preliminar;;
prisoner;;noun;B1 Preliminar;;
progress;;noun;B1 Preliminar;;
quantity;;noun;B1 Preliminar;;
railroad;;noun;B1 Preliminar;;
relation;;noun;B1 Preliminar;;
relative;;noun;B1 Preliminar;;
religion;;noun;B1 Preliminar;;
revision;;noun;B1 Preliminar;;
security;;noun;B1 Preliminar;;
solution;;noun;B1 Preliminar;;
souvenir;;noun;B1 Preliminar;;
spelling;;noun;B1 Preliminar;;
stranger;;noun;B1 Preliminar;;
teaching;;noun;B1 Preliminar;;
teenager;;noun;B1 Preliminar;;
textbook;;noun;B1 Preliminar;;
training;;noun;B1 Preliminar;;
universe;;noun;B1 Preliminar;;
wardrobe;;noun;B1 Preliminar;;
jewellery;;noun;B1 Preliminar;Clothes;
tracksuit;;noun;B1 Preliminar;Clothes;
underwear;;noun;B1 Preliminar;Clothes;
disc/disk;;noun;B1 Preliminar;Communications and Technology;
equipment;;noun;B1 Preliminar;Communications and Technology;
invention;;noun;B1 Preliminar;Communications and Technology;
bookshelf;;noun;B1 Preliminar;Education;
chemistry;;noun;B1 Preliminar;Education;
classroom;;noun;B1 Preliminar;Education;
economics;;noun;B1 Preliminar;Education;
education;;noun;B1 Preliminar;Education;
geography;;noun;B1 Preliminar;Education;
admission;;noun;B1 Preliminar;Entertainment and Media;
adventure;;noun;B1 Preliminar;Entertainment and Media;
celebrity;;noun;B1 Preliminar;Entertainment and Media;
guitarist;;noun;B1 Preliminar;Entertainment and Media;
newspaper;;noun;B1 Preliminar;Entertainment and Media;
orchestra;;noun;B1 Preliminar;Entertainment and Media;
performer;;noun;B1 Preliminar;Entertainment and Media;
presenter;;noun;B1 Preliminar;Entertainment and Media;
recording;;noun;B1 Preliminar;Entertainment and Media;
pollution;;noun;B1 Preliminar;Environment;
recycling;;noun;B1 Preliminar;Environment;
breakfast;;noun;B1 Preliminar;Food & drink;
cafeteria;;noun;B1 Preliminar;Food & drink;
chocolate;;noun;B1 Preliminar;Food & drink;
pineapple;;noun;B1 Preliminar;Food & drink;
vegetable;;noun;B1 Preliminar;Food & drink;
ambulance;;noun;B1 Preliminar;Health;
emergency;;noun;B1 Preliminar;Health;
operation;;noun;B1 Preliminar;Health;
toothache;;noun;B1 Preliminar;Health;
nightlife;;noun;B1 Preliminar;Hobbies and Leisure;
sculpture;;noun;B1 Preliminar;Hobbies and Leisure;
apartment;;noun;B1 Preliminar;House and Home;
furniture;;noun;B1 Preliminar;House and Home;
housewife;;noun;B1 Preliminar;House and Home;
housework;;noun;B1 Preliminar;House and Home;
neighbour;;noun;B1 Preliminar;House and Home;
bookstore;;noun;B1 Preliminar;Places;
waterfall;;noun;B1 Preliminar;Places;
cashpoint;;noun;B1 Preliminar;Places;
assistant;;noun;B1 Preliminar;Shopping;
athletics;;noun;B1 Preliminar;Sports & leisure;
badminton;;noun;B1 Preliminar;Sports & leisure;
surfboard;;noun;B1 Preliminar;Sports & leisure;
butterfly;;noun;B1 Preliminar;The Natural World;
continent;;noun;B1 Preliminar;The Natural World;
afternoon;;noun;B1 Preliminar;Time;
astronaut;;noun;B1 Preliminar;Transport;
departure;;noun;B1 Preliminar;Transport;
guidebook;;noun;B1 Preliminar;Transport;
motorbike;;noun;B1 Preliminar;Transport;
passenger;;noun;B1 Preliminar;Transport;
reception;;noun;B1 Preliminar;Transport;
spaceship;;noun;B1 Preliminar;Transport;
lightning;;noun;B1 Preliminar;Weather;
architect;;noun;B1 Preliminar;Work;
candidate;;noun;B1 Preliminar;Work;
colleague;;noun;B1 Preliminar;Work;
detective;;noun;B1 Preliminar;Work;
librarian;;noun;B1 Preliminar;Work;
policeman;;noun;B1 Preliminar;Work;
president;;noun;B1 Preliminar;Work;
professor;;noun;B1 Preliminar;Work;
publisher;;noun;B1 Preliminar;Work;
scientist;;noun;B1 Preliminar;Work;
secretary;;noun;B1 Preliminar;Work;
advantage;;noun;B1 Preliminar;;
aeroplane;;noun;B1 Preliminar;;
attention;;noun;B1 Preliminar;;
beginning;;noun;B1 Preliminar;;
behaviour;;noun;B1 Preliminar;;
biography;;noun;B1 Preliminar;;
boyfriend;;noun;B1 Preliminar;;
caf /cafe;;noun;B1 Preliminar;;
cathedral;;noun;B1 Preliminar;;
character;;noun;B1 Preliminar;;
childhood;;noun;B1 Preliminar;;
classmate;;noun;B1 Preliminar;;
complaint;;noun;B1 Preliminar;;
condition;;noun;B1 Preliminar;;
consonant;;noun;B1 Preliminar;;
discovery;;noun;B1 Preliminar;;
drugstore;;noun;B1 Preliminar;;
foreigner;;noun;B1 Preliminar;;
fortnight;;noun;B1 Preliminar;;
hairdryer;;noun;B1 Preliminar;;
happiness;;noun;B1 Preliminar;;
honeymoon;;noun;B1 Preliminar;;
knowledge;;noun;B1 Preliminar;;
landscape;;noun;B1 Preliminar;;
lunchtime;;noun;B1 Preliminar;;
microwave;;noun;B1 Preliminar;;
moustache;;noun;B1 Preliminar;;
nightclub;;noun;B1 Preliminar;;
nightmare;;noun;B1 Preliminar;;
notepaper;;noun;B1 Preliminar;;
paragraph;;noun;B1 Preliminar;;
penfriend;;noun;B1 Preliminar;;
photocopy;;noun;B1 Preliminar;;
recently.;;noun;B1 Preliminar;;
signature;;noun;B1 Preliminar;;
situation;;noun;B1 Preliminar;;
superhero;;noun;B1 Preliminar;;
supporter;;noun;B1 Preliminar;;
technique;;noun;B1 Preliminar;;
timetable;;noun;B1 Preliminar;;
transport;;noun;B1 Preliminar;;
sweatshirt;;noun;B1 Preliminar;Clothes;
underpants;;noun;B1 Preliminar;Clothes;
calculator;;noun;B1 Preliminar;Communications and Technology;
connection;;noun;B1 Preliminar;Communications and Technology;
microphone;;noun;B1 Preliminar;Communications and Technology;
Arithmetic;;noun;B1 Preliminar;Education;
blackboard;;noun;B1 Preliminar;Education;
curriculum;;noun;B1 Preliminar;Education;
dictionary;;noun;B1 Preliminar;Education;
instructor;;noun;B1 Preliminar;Education;
smartphone;;noun;B1 Preliminar;Education;
technology;;noun;B1 Preliminar;Education;
university;;noun;B1 Preliminar;Education;
bestseller;;noun;B1 Preliminar;Entertainment and Media;
exhibition;;noun;B1 Preliminar;Entertainment and Media;
headphones;;noun;B1 Preliminar;Entertainment and Media;
instrument;;noun;B1 Preliminar;Entertainment and Media;
journalist;;noun;B1 Preliminar;Entertainment and Media;
production;;noun;B1 Preliminar;Entertainment and Media;
soundtrack;;noun;B1 Preliminar;Entertainment and Media;
strawberry;;noun;B1 Preliminar;Food & drink;
gymnastics;;noun;B1 Preliminar;Health;
toothbrush;;noun;B1 Preliminar;Health;
collection;;noun;B1 Preliminar;Hobbies and Leisure;
playground;;noun;B1 Preliminar;Hobbies and Leisure;
dishwasher;;noun;B1 Preliminar;House and Home;
vocabulary;;noun;B1 Preliminar;Language;
department;;noun;B1 Preliminar;Places;
rainforest;;noun;B1 Preliminar;Places;
crossroads;;noun;B1 Preliminar;Places;
roundabout;;noun;B1 Preliminar;Places;
restaurant;;noun;B1 Preliminar;Services;
basketball;;noun;B1 Preliminar;Sports & leisure;
competitor;;noun;B1 Preliminar;Sports & leisure;
goalkeeper;;noun;B1 Preliminar;Sports & leisure;
volleyball;;noun;B1 Preliminar;Sports & leisure;
backpacker;;noun;B1 Preliminar;Transport;
handlebars;;noun;B1 Preliminar;Transport;
helicopter;;noun;B1 Preliminar;Transport;
windscreen;;noun;B1 Preliminar;Transport;
babysitter;;noun;B1 Preliminar;Work;
conference;;noun;B1 Preliminar;Work;
employment;;noun;B1 Preliminar;Work;
footballer;;noun;B1 Preliminar;Work;
occupation;;noun;B1 Preliminar;Work;
politician;;noun;B1 Preliminar;Work;
profession;;noun;B1 Preliminar;Work;
programmer;;noun;B1 Preliminar;Work;
retirement;;noun;B1 Preliminar;Work;
accountant;;noun;B1 Preliminar;;
appearance;;noun;B1 Preliminar;;
atmosphere;;noun;B1 Preliminar;;
attraction;;noun;B1 Preliminar;;
background;;noun;B1 Preliminar;;
conclusion;;noun;B1 Preliminar;;
correction;;noun;B1 Preliminar;;
difference;;noun;B1 Preliminar;;
difficulty;;noun;B1 Preliminar;;
discussion;;noun;B1 Preliminar;;
excitement;;noun;B1 Preliminar;;
expedition;;noun;B1 Preliminar;;
experiment;;noun;B1 Preliminar;;
friendship;;noun;B1 Preliminar;;
generation;;noun;B1 Preliminar;;
girlfriend;;noun;B1 Preliminar;;
government;;noun;B1 Preliminar;;
graduation;;noun;B1 Preliminar;;
grandchild;;noun;B1 Preliminar;;
importance;;noun;B1 Preliminar;;
ingredient;;noun;B1 Preliminar;;
invitation;;noun;B1 Preliminar;;
literature;;noun;B1 Preliminar;;
membership;;noun;B1 Preliminar;;
motorcycle;;noun;B1 Preliminar;;
pedestrian;;noun;B1 Preliminar;;
permission;;noun;B1 Preliminar;;
population;;noun;B1 Preliminar;;
relaxation;;noun;B1 Preliminar;;
suggestion;;noun;B1 Preliminar;;
toothpaste;;noun;B1 Preliminar;;
tournament;;noun;B1 Preliminar;;
washing-up;;noun;B1 Preliminar;;
wheelchair;;noun;B1 Preliminar;;
photography;;noun;B1 Preliminar;Communications and Technology;
certificate;;noun;B1 Preliminar;Education;
composition;;noun;B1 Preliminar;Education;
handwriting;;noun;B1 Preliminar;Education;
information;;noun;B1 Preliminar;Education;
competition;;noun;B1 Preliminar;Entertainment and Media;
documentary;;noun;B1 Preliminar;Entertainment and Media;
performance;;noun;B1 Preliminar;Entertainment and Media;
environment;;noun;B1 Preliminar;Environment;
appointment;;noun;B1 Preliminar;Health;
temperature;;noun;B1 Preliminar;Health;
sightseeing;;noun;B1 Preliminar;Hobbies and Leisure;
translation;;noun;B1 Preliminar;Language;
guest-house;;noun;B1 Preliminar;Places;
supermarket;;noun;B1 Preliminar;Places;
hairdresser;;noun;B1 Preliminar;Services;
countryside;;noun;B1 Preliminar;The Natural World;
backpacking;;noun;B1 Preliminar;Transport;
destination;;noun;B1 Preliminar;Transport;
immigration;;noun;B1 Preliminar;Transport;
nationality;;noun;B1 Preliminar;Transport;
reservation;;noun;B1 Preliminar;Transport;
application;;noun;B1 Preliminar;Work;
businessman;;noun;B1 Preliminar;Work;
firefighter;;noun;B1 Preliminar;Work;
policewoman;;noun;B1 Preliminar;Work;
achievement;;noun;B1 Preliminar;;
anniversary;;noun;B1 Preliminar;;
answerphone;;noun;B1 Preliminar;;
arrangement;;noun;B1 Preliminar;;
celebration;;noun;B1 Preliminar;;
description;;noun;B1 Preliminar;;
development;;noun;B1 Preliminar;;
electricity;;noun;B1 Preliminar;;
engineering;;noun;B1 Preliminar;;
explanation;;noun;B1 Preliminar;;
grandfather;;noun;B1 Preliminar;;
grandmother;;noun;B1 Preliminar;;
grandparent;;noun;B1 Preliminar;;
headteacher;;noun;B1 Preliminar;;
imagination;;noun;B1 Preliminar;;
improvement;;noun;B1 Preliminar;;
interviewer;;noun;B1 Preliminar;;
noticeboard;;noun;B1 Preliminar;;
opportunity;;noun;B1 Preliminar;;
possibility;;noun;B1 Preliminar;;
preparation;;noun;B1 Preliminar;;
schoolchild;;noun;B1 Preliminar;;
table-cloth;;noun;B1 Preliminar;;
tooth/teeth;;noun;B1 Preliminar;;
windsurfing;;noun;B1 Preliminar;;
handkerchief;;noun;B1 Preliminar;Clothes;
prescription;;noun;B1 Preliminar;Hobbies and Leisure;
refrigerator;;noun;B1 Preliminar;House and Home;
championship;;noun;B1 Preliminar;Sports & leisure;
horse-riding;;noun;B1 Preliminar;Sports & leisure;
motor-racing;;noun;B1 Preliminar;Sports & leisure;
snowboarding;;noun;B1 Preliminar;Sports & leisure;
announcement;;noun;B1 Preliminar;Transport;
photographer;;noun;B1 Preliminar;Work;
receptionist;;noun;B1 Preliminar;Work;
architecture;;noun;B1 Preliminar;;
conversation;;noun;B1 Preliminar;;
disadvantage;;noun;B1 Preliminar;;
humour/humor;;noun;B1 Preliminar;;
introduction;;noun;B1 Preliminar;;
organisation;;noun;B1 Preliminar;;
presentation;;noun;B1 Preliminar;;
registration;;noun;B1 Preliminar;;
relationship;;noun;B1 Preliminar;;
thunderstorm;;noun;B1 Preliminar;;
unemployment;;noun;B1 Preliminar;;
qualification;;noun;B1 Preliminar;Education;
advertisement;;noun;B1 Preliminar;Entertainment and Media;
accommodation;;noun;B1 Preliminar;House and Home;
communication;;noun;B1 Preliminar;Language;
pronunciation;;noun;B1 Preliminar;Language;
businesswoman;;noun;B1 Preliminar;Work;
entertainment;;noun;B1 Preliminar;;
granddaughter;;noun;B1 Preliminar;;
neighbourhood;;noun;B1 Preliminar;;
questionnaire;;noun;B1 Preliminar;;
skateboarding;;noun;B1 Preliminar;;
disappointment;;noun;B1 Preliminar;;
identification;;noun;B1 Preliminar;;
examination/exam;;noun;B1 Preliminar;;
salesman/saleswoman;;noun;B1 Preliminar;;
bath;a bath;noun & verb;B1 Preliminar;;
bomb;a bomb;noun & verb;B1 Preliminar;;
brake;a brake;noun & verb;B1 Preliminar;;
break;a break;noun & verb;B1 Preliminar;Food & drink;
brush;a brush;noun & verb;B1 Preliminar;House and Home;
call;a call;noun & verb;B1 Preliminar;;
camp;a camp;noun & verb;B1 Preliminar;Hobbies and Leisure;
care;a care;noun & verb;B1 Preliminar;;
check;a check;noun & verb;B1 Preliminar;Health;
ring;a circular band worn on a finger;noun & verb;B1 Preliminar;Clothes;
click;a click;noun & verb;B1 Preliminar;;
comb;a comb;noun & verb;B1 Preliminar;Health;
race;a competition of speed;noun & verb;B1 Preliminar;Sports & leisure;
train;a connected series of railway cars;noun & verb;B1 Preliminar;Transport;
match;a contest or competition;noun & verb;B1 Preliminar;Sports & leisure;
copy;a copy;noun & verb;B1 Preliminar;;
fax;a copy of a document sent electronically;noun & verb;B1 Preliminar;Communications and Technology;
cost;a cost;noun & verb;B1 Preliminar;;
cover;a cover;noun & verb;B1 Preliminar;;
crash;a crash;noun & verb;B1 Preliminar;;
cure;a cure;noun & verb;B1 Preliminar;;
cycle;a cycle;noun & verb;B1 Preliminar;;
damage;a damage;noun & verb;B1 Preliminar;Health;
delay;a delay;noun & verb;B1 Preliminar;Transport;
phone;a device for talking to people at a distance;noun & verb;B1 Preliminar;Communications and Technology;
doubt;a doubt;noun & verb;B1 Preliminar;;
dream;a dream;noun & verb;B1 Preliminar;;
drop;a drop;noun & verb;B1 Preliminar;;
fight;a fight;noun & verb;B1 Preliminar;;
board;a flat piece of wood;noun & verb;B1 Preliminar;Education;
form;a form;noun & verb;B1 Preliminar;;
aim;a goal or purpose;noun & verb;B1 Preliminar;;
grill;a grill;noun & verb;B1 Preliminar;House and Home;
set;a group or to place;noun & verb;B1 Preliminar;;
guess;a guess;noun & verb;B1 Preliminar;;
guide;a guide;noun & verb;B1 Preliminar;Transport;
help;a help;noun & verb;B1 Preliminar;;
hire;a hire;noun & verb;B1 Preliminar;Hobbies and Leisure;
hit;a hit;noun & verb;B1 Preliminar;;
hope;a hope;noun & verb;B1 Preliminar;;
hurry;a hurry;noun & verb;B1 Preliminar;;
iron;a iron;noun & verb;B1 Preliminar;House and Home;
tour;a journey visiting places;noun & verb;B1 Preliminar;;
judge;a judge;noun & verb;B1 Preliminar;Work;
kiss;a kiss;noun & verb;B1 Preliminar;;
laugh;a laugh;noun & verb;B1 Preliminar;Entertainment and Media;
limit;a limit;noun & verb;B1 Preliminar;;
drink;a liquid for consumption;noun & verb;B1 Preliminar;Food & drink;
plant;a living organism like a tree or flower;noun & verb;B1 Preliminar;House and Home;
lock;a lock;noun & verb;B1 Preliminar;House and Home;
tie;a long piece of cloth worn around the neck under a shirt collar;noun & verb;B1 Preliminar;Clothes;
love;a love;noun & verb;B1 Preliminar;;
mail;a mail;noun & verb;B1 Preliminar;;
matter;a matter;noun & verb;B1 Preliminar;;
mind;a mind;noun & verb;B1 Preliminar;;
film;a movie;noun & verb;B1 Preliminar;Entertainment and Media;
wave;a moving ridge of water;noun & verb;B1 Preliminar;;
name;a name;noun & verb;B1 Preliminar;;
offer;a offer;noun & verb;B1 Preliminar;;
dress;a one-piece garment for women or girls;noun & verb;B1 Preliminar;Clothes;
date;a particular day;noun & verb;B1 Preliminar;Time;
pass;a pass;noun & verb;B1 Preliminar;;
shop;a place where goods are sold;noun & verb;B1 Preliminar;Places;
plan;a plan;noun & verb;B1 Preliminar;;
plug;a plug;noun & verb;B1 Preliminar;House and Home;
point;a point;noun & verb;B1 Preliminar;;
park;a public area of land with grass and trees;noun & verb;B1 Preliminar;Hobbies and Leisure;
push;a push;noun & verb;B1 Preliminar;;
rent;a rent;noun & verb;B1 Preliminar;House and Home;
repair;a repair;noun & verb;B1 Preliminar;House and Home;
reply;a reply;noun & verb;B1 Preliminar;Education;
answer;a response to a question;noun & verb;B1 Preliminar;Language;
rest;a rest;noun & verb;B1 Preliminar;;
rule;a rule;noun & verb;B1 Preliminar;;
note;a short written message;noun & verb;B1 Preliminar;Education;
shout;a shout;noun & verb;B1 Preliminar;Language;
show;a show;noun & verb;B1 Preliminar;;
sign;a sign;noun & verb;B1 Preliminar;;
sink;a sink;noun & verb;B1 Preliminar;House and Home;
sleep;a sleep;noun & verb;B1 Preliminar;;
watch;a small clock worn on the wrist;noun & verb;B1 Preliminar;Clothes;
tick;a small mark to show correctness;noun & verb;B1 Preliminar;;
smile;a smile;noun & verb;B1 Preliminar;;
smoke;a smoke;noun & verb;B1 Preliminar;;
